Ticks,Gold Collected Blue,Gold Spent Blue,Units Built Blue,Units Lost Blue,Buildings Standing Blue,Building Health Blue,Damage Dealt Blue,Units in Enemy Territory Blue,Gold Collected Red,Gold Spent Red,Units Built Red,Units Lost Red,Buildings Standing Red,Building Health Red,Damage Dealt Red,Units in Enemy Territory Red
Ticks,Gold Collected Blue,Gold Spent Blue,Units Built Blue,Units Lost Blue,Buildings Standing Blue,Building Health Blue,Damage Dealt Blue,Units in Enemy Territory Blue,Gold Collected Red,Gold Spent Red,Units Built Red,Units Lost Red,Buildings Standing Red,Building Health Red,Damage Dealt Red,Units in Enemy Territory Red
97,409,200,16,0,4,12000,0,0,97,409,300,16,0,4,12000,0,0
98,409,200,16,0,4,12000,0,0,98,409,300,16,0,4,12000,0,0
99,409,200,16,0,4,12000,0,0,99,409,300,16,0,4,12000,0,0
100,409,200,16,0,4,12000,0,0,100,409,300,16,0,4,12000,0,0
100,409,200,16,0,4,12000,0,0,100,409,300,16,0,4,12000,0,0
101,409,200,16,0,4,12000,0,0,101,409,300,16,0,4,12000,0,0
102,409,200,16,0,4,12000,0,0,102,409,300,16,0,4,12000,0,0
103,409,200,16,0,4,12000,0,0,103,409,300,16,0,4,12000,0,0
104,457,300,20,0,4,12000,0,0,104,457,300,16,0,4,12000,0,0
105,457,300,20,0,4,12000,0,0,105,457,300,16,0,4,12000,0,0
106,457,300,20,0,4,12000,0,0,106,457,300,16,0,4,12000,0,0
107,457,300,20,0,4,12000,0,0,107,457,300,16,0,4,12000,0,0
108,457,300,20,0,4,12000,0,0,108,457,300,16,0,4,12000,0,0
109,457,300,20,0,4,12000,0,0,109,457,300,16,0,4,12000,0,0
110,457,300,20,0,4,12000,0,0,110,457,300,16,0,4,12000,0,0
111,457,300,20,0,4,12000,0,0,111,457,300,16,0,4,12000,0,0
112,457,300,20,0,4,12000,0,0,112,457,300,16,0,4,12000,0,0
113,457,300,20,0,4,12000,0,0,113,457,300,16,0,4,12000,0,0
114,457,300,20,0,4,12000,0,0,114,457,300,16,0,4,12000,0,0
115,526,300,20,0,4,12000,0,0,115,526,400,20,0,4,12000,0,0
116,526,300,20,0,4,12000,0,0,116,526,400,20,0,4,12000,0,0
117,526,300,20,0,4,12000,0,0,117,526,400,20,0,4,12000,0,0
118,526,300,20,0,4,12000,0,0,118,526,400,20,0,4,12000,0,0
119,526,300,20,0,4,12000,0,0,119,526,400,20,0,4,12000,0,0
120,526,300,20,0,4,12000,0,0,120,526,400,20,0,4,12000,0,0
120,526,300,20,0,4,12000,0,0,120,526,400,20,0,4,12000,0,0
121,526,300,20,0,4,12000,0,0,121,526,400,20,0,4,12000,0,0
122,526,300,20,0,4,12000,0,0,122,526,400,20,0,4,12000,0,0
