Ticks,Gold Collected Blue,Gold Spent Blue,Units Built Blue,Units Lost Blue,Buildings Standing Blue,Building Health Blue,Damage Dealt Blue,Units in Enemy Territory Blue,Gold Collected Red,Gold Spent Red,Units Built Red,Units Lost Red,Buildings Standing Red,Building Health Red,Damage Dealt Red,Units in Enemy Territory Red
Ticks,Gold Collected Blue,Gold Spent Blue,Units Built Blue,Units Lost Blue,Buildings Standing Blue,Building Health Blue,Damage Dealt Blue,Units in Enemy Territory Blue,Gold Collected Red,Gold Spent Red,Units Built Red,Units Lost Red,Buildings Standing Red,Building Health Red,Damage Dealt Red,Units in Enemy Territory Red
585,2739,2550,102,67,3,6980,24050,15,585,2739,2500,72,52,1,800,21030,4
586,2739,2550,102,67,3,6980,24250,15,586,2739,2500,72,53,1,800,21100,4
587,2739,2550,102,67,3,6980,24370,15,587,2739,2550,73,54,1,800,21170,4
588,2739,2550,102,67,3,6980,24580,16,588,2739,2600,74,55,1,800,21240,4
589,2739,2550,102,67,3,6980,24730,16,589,2739,2650,75,56,1,800,21300,4
590,2739,2550,102,67,3,6980,24790,16,590,2739,2650,75,56,1,800,21300,4
591,2794,2550,102,67,3,6980,24850,16,591,2794,2650,75,56,1,800,21360,4
592,2794,2550,102,67,3,6980,24910,16,592,2794,2650,75,56,1,800,21420,4
593,2794,2550,102,67,3,6980,25050,16,593,2794,2650,75,56,1,800,21480,4
594,2794,2550,102,67,3,6980,25200,16,594,2794,2650,75,56,1,800,21550,4
595,2794,2550,102,67,3,6980,25430,16,595,2794,2650,75,56,1,800,21640,4
596,2794,2550,102,67,3,6980,25720,16,596,2794,2650,75,58,1,800,21730,4
597,2830,2550,102,67,3,6980,25830,16,597,2830,2750,76,60,1,800,21760,4
598,2830,2550,102,67,3,6980,25830,16,598,2830,2800,77,60,1,800,21760,4
599,2830,2550,102,67,3,6980,25960,16,599,2830,2800,77,60,1,740,21830,4
600,2830,2550,102,68,3,6980,26190,15,600,2830,2800,77,60,1,660,21940,4
600,2830,2600,105,68,3,6980,26420,15,600,2830,2800,77,61,1,580,21980,4
601,2830,2600,105,68,3,6980,26420,15,601,2830,2800,77,61,1,580,21980,4
602,2830,2600,105,68,3,6980,26590,15,602,2830,2800,77,62,1,500,22000,4
603,2830,2600,105,68,3,6980,26670,15,603,2830,2800,77,62,1,420,22000,4
604,2875,2600,105,68,3,6980,26820,15,604,2875,2800,77,62,1,270,22000,4
605,2875,2600,105,68,3,6980,26970,15,605,2875,2800,77,62,1,120,22000,4
606,2875,2600,105,68,3,6980,27120,15,606,2875,2800,77,62,0,0,22000,4
